X,Age,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,Department,Gender,MartialStatus,Over18,OverTime,EducationFiled,JobRole,Attrition
1,41,1,2,1,1,2,94,3,2,4,8,11,3,1,0,8,0,1,6,4,0,5,3,3,2,3,1,0,2,8,1
2,49,8,1,1,2,3,61,2,2,2,1,23,4,4,1,10,3,3,10,7,1,7,2,2,1,2,1,1,2,7,0
3,37,2,2,1,4,4,92,2,1,3,6,15,3,2,0,7,3,3,0,0,0,0,3,2,1,3,1,0,5,3,1
4,33,3,4,1,5,4,56,3,1,3,1,11,3,3,0,8,3,3,8,7,3,0,2,2,2,2,1,0,2,7,0
5,27,2,1,1,7,1,40,3,1,2,9,12,3,4,1,6,3,3,2,2,2,2,3,2,1,2,1,1,4,3,0
6,32,2,2,1,8,4,79,3,1,4,0,13,3,3,0,8,2,2,7,7,3,6,2,2,1,3,1,1,2,3,0
7,59,3,3,1,10,3,81,4,1,1,4,20,4,1,3,12,3,2,1,0,0,0,3,2,2,2,1,0,4,3,0
8,30,24,1,1,11,4,67,3,1,3,1,22,4,2,1,1,2,3,1,0,0,0,3,2,1,1,1,1,2,3,0
9,38,23,3,1,12,4,44,2,3,3,0,21,4,2,0,10,2,3,9,7,1,8,2,2,1,3,1,1,2,5,0
10,36,27,3,1,13,3,94,3,2,3,6,13,3,2,2,17,3,2,7,7,7,7,3,2,1,2,1,1,4,1,0
11,35,16,3,1,14,1,84,4,1,2,0,13,3,3,1,6,5,3,5,4,0,3,3,2,1,2,1,1,4,3,0
12,29,15,2,1,15,4,49,2,2,3,0,12,3,4,0,10,3,3,9,5,0,8,3,2,2,3,1,0,2,3,0
13,31,26,1,1,16,1,31,3,1,3,1,17,3,4,1,5,1,2,5,2,4,3,3,2,1,1,1,1,2,7,0
14,34,19,2,1,18,2,93,3,1,4,0,11,3,3,1,3,2,3,2,2,1,2,3,2,1,1,1,1,4,3,0
15,28,24,3,1,19,3,50,2,1,3,5,14,3,2,0,6,4,3,4,2,0,3,3,2,1,3,1,0,2,3,1
16,29,21,4,1,20,2,51,4,3,1,1,11,3,3,1,10,1,3,10,9,8,8,3,2,2,1,1,1,2,5,0
17,32,5,2,1,21,1,80,4,1,2,0,12,3,4,2,7,5,2,6,2,0,5,3,2,1,1,1,0,2,7,0
